"Report ID","Brand name","Company Name","Drug Identification Number","Common or Proper name","Active Ingredient(s)","Strength(s)","Dosage form(s)","Route of administration","Packaging size","ATC code","ATC description","Reason for shortage","Anticipated start date","Actual start date","Estimated end date","Actual end date","Shortage status","Updated date","Company comments","Health Canada comments","Contact Address","Company contact information","Status","Strength","Update","Date Updated"
"67234","TEVA-TELMISARTAN HCTZ","TEVA CANADA LIMITED","02330288","TELMISARTAN HCTZ","HYDROCHLOROTHIAZIDE
TELMISARTAN","12.5MG
80MG","TABLET","ORAL","30","C09DA","ANGIOTENSIN II ANTAGONISTS, COMBINATIONS","Requirements related to complying with good manufacturing practices.","","2018-11-20","2019-04-30","2019-04-26","Resolved","2019-04-27","","","30 NOVOPHARM COURT  TORONTO, ONTARIO  CANADA M1B 2K9","","Resolved","12.5MG
80MG","Updated Report","2019-04-27"
"67237","TEVA-TELMISARTAN HCTZ","TEVA CANADA LIMITED","02330288","TELMISARTAN HCTZ","HYDROCHLOROTHIAZIDE
TELMISARTAN","12.5MG
80MG","TABLET","ORAL","100","C09DA","ANGIOTENSIN II ANTAGONISTS, COMBINATIONS","Requirements related to complying with good manufacturing practices.","","2018-11-20","2019-05-31","","Actual shortage","2019-04-26","","","30 NOVOPHARM COURT  TORONTO, ONTARIO  CANADA M1B 2K9","","Actual shortage","12.5MG
80MG","Updated Report","2019-04-26"
"67240","TEVA-TELMISARTAN HCTZ","TEVA CANADA LIMITED","02330288","TELMISARTAN HCTZ","HYDROCHLOROTHIAZIDE
TELMISARTAN","12.5MG
80MG","TABLET","ORAL","500","C09DA","ANGIOTENSIN II ANTAGONISTS, COMBINATIONS","Requirements related to complying with good manufacturing practices.","","2018-11-20","2019-04-30","2019-04-26","Resolved","2019-04-27","","","30 NOVOPHARM COURT  TORONTO, ONTARIO  CANADA M1B 2K9","","Resolved","12.5MG
80MG","Updated Report","2019-04-27"
"67382","AURO-TELMISARTAN HCTZ","AURO PHARMA INC","02456397","Hydrochlorothiazide; Telmisartan","HYDROCHLOROTHIAZIDE
TELMISARTAN","25MG
80MG","TABLET","ORAL","100","C09DA","ANGIOTENSIN II ANTAGONISTS, COMBINATIONS","Demand increase for the drug.","","2018-11-21","2019-05-20","","Actual shortage","2019-04-26","","","3700 STEELES AVENUE WEST, SUITE 402  WOODBRIDGE, ONTARIO  CANADA L4L 8K8","Balaji Srinivasan","Actual shortage","25MG
80MG","Updated Report","2019-04-26"
"69460","APO-VENLAFAXINE XR","APOTEX INC","02331705","VENLAFAXINE XR","VENLAFAXINE","150.0MG","CAPSULE (EXTENDED RELEASE)","ORAL","100 BTL","N06AX","ANTIDEPRESSANTS","Disruption of the manufacture of the drug.","2018-12-10","2018-12-11","2019-06-07","","Actual shortage","2019-04-26","","","150 SIGNET DRIVE  TORONTO, ONTARIO  CANADA M9L 1T9","Apotex Customer Service   - 1-877-427-6839","Actual shortage","150.0MG","Updated Report","2019-04-26"
"71550","TEVA-FLUVASTATIN","TEVA CANADA LIMITED","02299224","FLUVASTATIN","FLUVASTATIN","20MG","CAPSULE","ORAL","100","C10AA","LIPID MODIFYING AGENTS, PLAIN","Disruption of the manufacture of the drug.","","2018-12-01","2019-08-30","","Actual shortage","2019-04-26","","","30 NOVOPHARM COURT  TORONTO, ONTARIO  CANADA M1B 2K9","","Actual shortage","20MG","Updated Report","2019-04-26"
"71553","TEVA-FLUVASTATIN","TEVA CANADA LIMITED","02299232","FLUVASTATIN","FLUVASTATIN","40MG","CAPSULE","ORAL","100","C10AA","LIPID MODIFYING AGENTS, PLAIN","Disruption of the manufacture of the drug.","","2019-01-08","2019-08-30","","Actual shortage","2019-04-26","","","30 NOVOPHARM COURT  TORONTO, ONTARIO  CANADA M1B 2K9","","Actual shortage","40MG","Updated Report","2019-04-26"
"72354","APO-FAMCICLOVIR","APOTEX INC","02292068","FAMCICLOVIR","FAMCICLOVIR","500MG","TABLET","ORAL","30 BTL","J05AB","DIRECT ACTING ANTIVIRALS","Disruption of the manufacture of the drug.","","2019-01-14","2019-05-03","2019-04-25","Resolved","2019-04-26","","","150 SIGNET DRIVE  TORONTO, ONTARIO  CANADA M9L 1T9","Apotex Customer Service   - 1-877-427-6839","Resolved","500MG","Updated Report","2019-04-26"
"72357","APO-MONTELUKAST","APOTEX INC","02377616","MONTELUKAST","MONTELUKAST","5MG","TABLET (CHEWABLE)","ORAL","30 BLS","R03DC","OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES","Disruption of the manufacture of the drug.","","2019-01-14","2019-06-28","","Actual shortage","2019-04-26","","","150 SIGNET DRIVE  TORONTO, ONTARIO  CANADA M9L 1T9","Apotex Customer Service   - 1-877-427-6839","Actual shortage","5MG","Updated Report","2019-04-26"
"74028","MIRVALA 28","APOTEX INC","02410257","MIRVALA 28","DESOGESTREL
ETHINYL ESTRADIOL","0.1500MG
0.0300MG","TABLET","ORAL","28 BLS","G03AA","HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE","Disruption of the manufacture of the drug.","","2019-01-28","2019-04-26","2019-04-22","Resolved","2019-04-26","","","150 SIGNET DRIVE  TORONTO, ONTARIO  CANADA M9L 1T9","Apotex Customer Service   - 1-877-427-6839","Resolved","0.1500MG
0.0300MG","Updated Report","2019-04-26"
"75632","APO-TERBINAFINE","APOTEX INC","02239893","TERBINAFINE","TERBINAFINE","250MG","TABLET","ORAL","30BLS","D01BA","ANTIFUNGALS FOR SYSTEMIC USE","Disruption of the manufacture of the drug.","","2019-02-11","2019-05-30","","Actual shortage","2019-04-26","","","150 SIGNET DRIVE  TORONTO, ONTARIO  CANADA M9L 1T9","Apotex Customer Service   - 1-877-427-6839","Actual shortage","250MG","Updated Report","2019-04-26"
"76444","DILANTIN-30 SUSPENSION","PFIZER CANADA ULC","00023442","DILANTIN-30 SUSPENSION","PHENYTOIN","30MG","SUSPENSION","ORAL","250ML","N03AB","ANTIEPILEPTICS","Disruption of the manufacture of the drug.","2019-04-26","","Unknown","","Actual shortage","2019-04-27","Re-supply date being determined, update to follow. Other Dilantin format are not impacted.","","17300 TRANS-CANADA HIGHWAY  KIRKLAND, QUEBEC  CANADA H9J 2M5","Customer Service / service <U+00E0> la client<U+00E8>le : 1-888-999-8750
Email / courriel: PharmaCustomerServiceDept@pfizer.com","Actual shortage","30MG","Updated Report","2019-04-27"
"76720","APO-LEVETIRACETAM","APOTEX INC","02285940","LEVETIRACETAM","LEVETIRACETAM","750MG","TABLET","ORAL","100 BTL","N03AX","ANTIEPILEPTICS","Disruption of the manufacture of the drug.","","2019-02-20","2019-05-03","2019-04-24","Resolved","2019-04-26","","","150 SIGNET DRIVE  TORONTO, ONTARIO  CANADA M9L 1T9","Apotex Customer Service   - 1-877-427-6839","Resolved","750MG","Updated Report","2019-04-26"
"77025","BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP","PFIZER CANADA ULC","00037818","Bacteriostatic Sodium Chloride","SODIUM CHLORIDE","9MG","SOLUTION","INTRAMUSCULAR
INTRAVENOUS
SUBCUTANEOUS","25 x 30mL PVL MD","B05CB","IRRIGATING SOLUTIONS","Disruption of the manufacture of the drug.","2019-04-26","","2019-05-08","","Actual shortage","2019-04-27","Current inventory is on preventative allocation","","17300 TRANS-CANADA HIGHWAY  KIRKLAND, QUEBEC  CANADA H9J 2M5","Customer Service / service <U+00E0> la client<U+00E8>le : 1-888-999-8750
Email / courriel: PharmaCustomerServiceDept@pfizer.com","Actual shortage","9MG","Updated Report","2019-04-27"
"77884","APO-FLUCONAZOLE-150","APOTEX INC","02241895","APO-FLUCONAZOLE","FLUCONAZOLE","150MG","CAPSULE","ORAL","1 BLS","J02AC","ANTIMYCOTICS FOR SYSTEMIC USE","Disruption of the manufacture of the drug.","","2019-03-04","2019-05-03","2019-04-25","Resolved","2019-04-26","","","150 SIGNET DRIVE  TORONTO, ONTARIO  CANADA M9L 1T9","Apotex Customer Service   - 1-877-427-6839","Resolved","150MG","Updated Report","2019-04-26"
"77896","APO-TADALAFIL","APOTEX INC","02422093","TADALAFIL","TADALAFIL","5MG","TABLET","ORAL","30 BLS","G04BE","OTHER UROLOGICALS, INCL ANTISPASMODICS","Disruption of the manufacture of the drug.","","2019-03-04","2019-04-26","2019-04-25","Resolved","2019-04-26","","","150 SIGNET DRIVE  TORONTO, ONTARIO  CANADA M9L 1T9","Apotex Customer Service   - 1-877-427-6839","Resolved","5MG","Updated Report","2019-04-26"
"77899","APO-TRYPTOPHAN","APOTEX INC","02248538","TRYPTOPHAN","TRYPTOPHAN","500MG","TABLET","ORAL","100 BTL","N06AX","ANTIDEPRESSANTS","Disruption of the manufacture of the drug.","","2019-03-04","2019-04-26","2019-04-22","Resolved","2019-04-26","","","150 SIGNET DRIVE  TORONTO, ONTARIO  CANADA M9L 1T9","Apotex Customer Service   - 1-877-427-6839","Resolved","500MG","Updated Report","2019-04-26"
"78280","VENLAFAXINE XR","SIVEM PHARMACEUTICALS ULC","02385945","VENLAFAXINE XR","VENLAFAXINE","150MG","CAPSULE (EXTENDED RELEASE)","ORAL","100","N06AX","ANTIDEPRESSANTS","Demand increase for the drug.","2019-04-26","","2019-05-24","","Actual shortage","2019-04-27","","","4705 DOBRIN STREET  SAINT-LAURENT, QUEBEC  CANADA H4R 2P7","","Actual shortage","150MG","Updated Report","2019-04-27"
"78308","LOSARTAN","SIVEM PHARMACEUTICALS ULC","02388804","LOSARTAN","LOSARTAN POTASSIUM","50MG","TABLET","ORAL","30","C09CA","ANGIOTENSIN II ANTAGONISTS, PLAIN","Demand increase for the drug.","2019-04-26","","2019-08-23","","Actual shortage","2019-04-27","","","4705 DOBRIN STREET  SAINT-LAURENT, QUEBEC  CANADA H4R 2P7","","Actual shortage","50MG","Updated Report","2019-04-27"
"78953","ACUVAIL","ALLERGAN INC","02369362","ketorolac tromethamine","KETOROLAC TROMETHAMINE","0.45%","SOLUTION","OPHTHALMIC","60 x 0.4mL","S01BC","ANTIINFLAMMATORY AGENTS","Disruption of the manufacture of the drug.","2019-03-20","2019-03-20","2019-04-23","2019-04-24","Resolved","2019-04-26","","",NA,"Company contact information;
Telephone number: 800-668-6424
Email address: MR-GENERAL_INQUIRY@allergan.com
Website address: allergan.ca
Postal address:  500-85 Enterprise Blvd, Markham, Ontario, L6G 0B5","Resolved","0.45%","Updated Report","2019-04-26"
"79045","APO-LEVETIRACETAM","APOTEX INC","02285924","LEVETIRACETAM","LEVETIRACETAM","250MG","TABLET","ORAL","100 BTL","N03AX","ANTIEPILEPTICS","Disruption of the manufacture of the drug.","","2019-03-18","2019-05-03","2019-04-25","Resolved","2019-04-26","","","150 SIGNET DRIVE  TORONTO, ONTARIO  CANADA M9L 1T9","Apotex Customer Service   - 1-877-427-6839","Resolved","250MG","Updated Report","2019-04-26"
"79051","APO-TADALAFIL","APOTEX INC","02422107","TADALAFIL","TADALAFIL","10MG","TABLET","ORAL","4 BLS","G04BE","OTHER UROLOGICALS, INCL ANTISPASMODICS","Disruption of the manufacture of the drug.","","2019-03-18","2019-04-26","2019-04-25","Resolved","2019-04-26","","","150 SIGNET DRIVE  TORONTO, ONTARIO  CANADA M9L 1T9","Apotex Customer Service   - 1-877-427-6839","Resolved","10MG","Updated Report","2019-04-26"
"79361","PRAVASTATIN","SIVEM PHARMACEUTICALS ULC","02389703","PRAVASTATIN","PRAVASTATIN SODIUM","10MG","TABLET","ORAL","100","C10AA","LIPID MODIFYING AGENTS, PLAIN","Disruption of the manufacture of the drug.","2019-04-26","","2019-08-02","","Actual shortage","2019-04-27","","","4705 DOBRIN STREET  SAINT-LAURENT, QUEBEC  CANADA H4R 2P7","","Actual shortage","10MG","Updated Report","2019-04-27"
"79583","APO-LANSOPRAZOLE","APOTEX INC","02293838","LANSOPRAZOLE","LANSOPRAZOLE","30MG","CAPSULE (DELAYED RELEASE)","ORAL","100 BTL","A02BC","DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD)","Disruption of the manufacture of the drug.","","2019-03-25","2019-04-26","2019-04-25","Resolved","2019-04-26","","","150 SIGNET DRIVE  TORONTO, ONTARIO  CANADA M9L 1T9","Apotex Customer Service   - 1-877-427-6839","Resolved","30MG","Updated Report","2019-04-26"
"79642","PEDIAPRED","SANOFI-AVENTIS CANADA INC","02230619","Pediapred oral liquid","PREDNISOLONE","5MG","SOLUTION","ORAL","120 mL","H02AB","CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN","Other (Please describe in comments)","2019-04-26","","2019-06-14","","Actual shortage","2019-04-27","Production delay","",NA,"email: CAINTERNET@sanofi.com
Telephone: 1-800-265-7927","Actual shortage","5MG","Updated Report","2019-04-27"
"79967","AURO-LACOSAMIDE","AURO PHARMA INC","02475332","AURO-LACOSAMIDE","LACOSAMIDE","50MG","TABLET","ORAL","60","N03AX","ANTIEPILEPTICS","Demand increase for the drug.","","2019-03-28","2019-05-14","","Actual shortage","2019-04-26","","","3700 STEELES AVENUE WEST, SUITE 402  WOODBRIDGE, ONTARIO  CANADA L4L 8K8","Balaji Srinivasan","Actual shortage","50MG","Updated Report","2019-04-26"
"80376","PDP-DESONIDE","PENDOPHARM DIVISION OF PHARMASCIENCE INC","02229315","DESONIDE","DESONIDE","0.05%","CREAM","TOPICAL","15G","D07AB","CORTICOSTEROIDS, PLAIN","Disruption of the manufacture of the drug.","","2019-04-03","2019-05-20","","Actual shortage","2019-04-26","","","6111, AVENUE ROYALMOUNT  MONTREAL, QUEBEC  CANADA H4P 2T4","","Actual shortage","0.05%","Updated Report","2019-04-26"
"80526","ALVESCO","ASTRAZENECA CANADA INC","02285606","ciclesonide","CICLESONIDE","100MCG","AEROSOL, METERED DOSE","INHALATION","120 doses","R03BA","OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS","Other (Please describe in comments)","2019-04-18","2019-04-18","2019-05-06","","Actual shortage","2019-04-26","Manufacturing capacity constraints","",NA,"Please contact AstraZeneca Canada Medical Information for any specific questions at 1-800-668-6000 (EN) or 1-800-461-3787 (FR) or by email: medinfo.canada@astrazeneca.com.","Actual shortage","100MCG","Updated Report","2019-04-26"
"80819","OZURDEX","ALLERGAN INC","02363445","dexamethasone intravitreal implant","DEXAMETHASONE","0.7MG","IMPLANT","INTRAVITREAL","1 implant","S01BA","ANTIINFLAMMATORY AGENTS","Disruption of the manufacture of the drug.","2019-04-15","","2019-04-30","2019-04-26","Resolved","2019-04-27","Rebuilding in country  inventory levels following prior supply disruption. Resupply in late April will be sufficient quantity  to meet ongoing  customer & patient demand.","",NA,"Company contact information;
Telephone number: 800-668-6424
Email address: MR-GENERAL_INQUIRY@allergan.com
Website address: allergan.ca
Postal address:  500-85 Enterprise Blvd, Markham, Ontario, L6G 0B5","Resolved","0.7MG","Updated Report","2019-04-27"
"81021","MYLAN-ABACAVIR/LAMIVUDINE","MYLAN PHARMACEUTICALS ULC","02450682","ABACAVIR/LAMIVUDINE","ABACAVIR
LAMIVUDINE","600MG
300MG","TABLET","ORAL","30 BL","J05AR","DIRECT ACTING ANTIVIRALS","Shortage of an inactive ingredient or component.","2019-04-26","","2019-05-30","","Actual shortage","2019-04-27","","","85 ADVANCE ROAD  ETOBICOKE, ONTARIO  CANADA M8Z 2S6","Mylan Pharmaceuticals ULC, 85 Advance Road, Etobicoke, ON, M8Z 2S6","Actual shortage","600MG
300MG","Updated Report","2019-04-27"
"82013","APO-ATORVASTATIN","APOTEX INC","02295261","ATORVASTATIN","ATORVASTATIN","10MG","TABLET","ORAL","100 BTL","C10AA","LIPID MODIFYING AGENTS, PLAIN","Disruption of the manufacture of the drug.","","2019-04-15","2019-05-03","","Actual shortage","2019-04-26","","","150 SIGNET DRIVE  TORONTO, ONTARIO  CANADA M9L 1T9","Apotex Customer Service   - 1-877-427-6839","Actual shortage","10MG","Updated Report","2019-04-26"
"82271","KAYEXALATE","SANOFI-AVENTIS CANADA INC","02026961","Kayexalate","SODIUM POLYSTYRENE SULFONATE","100%","POWDER","ORAL
RECTAL","1","V03AE","ALL OTHER THERAPEUTIC PRODUCTS","Other (Please describe in comments)","2019-04-26","","2019-08-30","","Actual shortage","2019-04-27","Production delay. The availability date represents estimated availability at the main Sanofi warehouse. Availability dates at a customer<U+2019>s usual distributor warehouse may vary. Pharmacies are invited to communicate with their preferred distributor to obtain the product availability date. Patients should validate the availability of the product with their respective pharmacy","",NA,"email: CAINTERNET@sanofi.com
Telephone: 1-800-265-7927","Actual shortage","100%","Updated Report","2019-04-27"
"82497","COVERSYL PLUS LD","SERVIER CANADA INC","02246568","COVERSYL PLUS LD","INDAPAMIDE
PERINDOPRIL ERBUMINE","0.625MG
2MG","TABLET","ORAL","30","C09BA","ACE INHIBITORS, COMBINATIONS","Delay in shipping of the drug.","","2019-04-23","2019-05-03","","Actual shortage","2019-04-26","","","235 BOUL. ARMAND-FRAPPIER  - PARC SCIENTIF. ET DE HAUTE TECH. DE LAVAL  LAVAL, QUEBEC  CANADA H7V 4A7","","Actual shortage","0.625MG
2MG","New Report","2019-04-26"
"82512","IRBESARTAN","SANIS HEALTH INC","02372347","IRBESARTAN","IRBESARTAN","75MG","TABLET","ORAL","100","C09CA","ANGIOTENSIN II ANTAGONISTS, PLAIN","Disruption of the manufacture of the drug.","2019-05-10","","2019-05-31","","Anticipated shortage","2019-04-26","","","1 PRESIDENTS CHOICE CIRCLE  BRAMPTON, ONTARIO  CANADA L6Y 5S5","","Anticipated shortage","75MG","New Report","2019-04-26"
"82527","PANTOPRAZOLE","SANIS HEALTH INC","02370808","PANTOPROZOLE","PANTOPRAZOLE","40MG","TABLET (DELAYED-RELEASE)","ORAL","500","A02BC","DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD)","Disruption of the manufacture of the drug.","","2019-04-26","2019-10-30","","Actual shortage","2019-04-27","","","1 PRESIDENTS CHOICE CIRCLE  BRAMPTON, ONTARIO  CANADA L6Y 5S5","","Actual shortage","40MG","Updated Report","2019-04-27"
"82552","ACT DILTIAZEM CD","TEVA CANADA LIMITED","02370611","DILTIAZEM CD","DILTIAZEM HYDROCHLORIDE","120MG","CAPSULE (EXTENDED RELEASE)","ORAL","100","C08DB","SELECTIVE CALC.CHANNEL BLOCK. W/DIRECT CARDIAC EFF","Disruption of the manufacture of the drug.","","2019-04-01","Unknown","","Actual shortage","2019-04-26","","","30 NOVOPHARM COURT  TORONTO, ONTARIO  CANADA M1B 2K9","","Actual shortage","120MG","New Report","2019-04-26"
"82555","ACT DILTIAZEM CD","TEVA CANADA LIMITED","02370638","DILTIAZEM CD","DILTIAZEM HYDROCHLORIDE","180MG","CAPSULE (EXTENDED RELEASE)","ORAL","100","C08DB","SELECTIVE CALC.CHANNEL BLOCK. W/DIRECT CARDIAC EFF","Disruption of the manufacture of the drug.","","2019-04-01","Unknown","","Actual shortage","2019-04-26","","","30 NOVOPHARM COURT  TORONTO, ONTARIO  CANADA M1B 2K9","","Actual shortage","180MG","New Report","2019-04-26"
"82566","AURO-VENLAFAXINE XR","AURO PHARMA INC","02452839","Venlafaxine","VENLAFAXINE","37.5MG","CAPSULE (EXTENDED RELEASE)","ORAL","100 & 500","N06AX","ANTIDEPRESSANTS","Demand increase for the drug.","","2019-04-26","2019-05-06","","Actual shortage","2019-04-27","","","3700 STEELES AVENUE WEST, SUITE 402  WOODBRIDGE, ONTARIO  CANADA L4L 8K8","Balaji Srinivasan","Actual shortage","37.5MG","Updated Report","2019-04-27"
